symbol,timestamp,datetime,open,high,low,close,volume
ASM-USD,1760693400,2025-10-17T09:30:00.000Z,0.01388,0.01422,0.01381,0.01402,133134
ZKC-USD,1760693400,2025-10-17T09:30:00.000Z,0.2985,0.3092,0.2956,0.302,696476.66
USELESS-USD,1760693400,2025-10-17T09:30:00.000Z,0.2862,0.2989,0.285,0.2933,1127802.2
TROLL-USD,1760693400,2025-10-17T09:30:00.000Z,0.0804,0.0851,0.0804,0.08272,23358.3
GODS-USD,1760693400,2025-10-17T09:30:00.000Z,0.09175,0.09308,0.09104,0.09308,14769.38
TRAC-USD,1760693400,2025-10-17T09:30:00.000Z,0.6592,0.691,0.656,0.672,112928.9
OMNI-USD,1760693400,2025-10-17T09:30:00.000Z,2.199,2.202,2.197,2.2,212.01
MAGIC-USD,1760693400,2025-10-17T09:30:00.000Z,0.1365,0.143,0.136,0.1414,217871.37
GST-USD,1760693400,2025-10-17T09:30:00.000Z,0.003766,0.003858,0.003766,0.003792,320686.66
HONEY-USD,1760693400,2025-10-17T09:30:00.000Z,0.0107,0.0107,0.0106,0.0107,736731.9
LRDS-USD,1760693400,2025-10-17T09:30:00.000Z,0.091,0.0911,0.0898,0.0899,9715.18
MAMO-USD,1760693400,2025-10-17T09:30:00.000Z,0.05079,0.05109,0.05079,0.05089,119742
PNG-USD,1760693400,2025-10-17T09:30:00.000Z,0.07786,0.07985,0.07786,0.07964,15863
LOKA-USD,1760693400,2025-10-17T09:30:00.000Z,0.1165,0.1178,0.116,0.116,58169.74
RECALL-USD,1760693400,2025-10-17T09:30:00.000Z,0.2871,0.2904,0.2813,0.2823,66797.57
CFG-USD,1760693400,2025-10-17T09:30:00.000Z,0.193,0.1975,0.193,0.194,19872.4
ALICE-USD,1760693400,2025-10-17T09:30:00.000Z,0.361,0.367,0.361,0.364,31290.07
NEON-USD,1760693400,2025-10-17T09:30:00.000Z,0.08275,0.08298,0.08199,0.08252,18264.04
LA-USD,1760693400,2025-10-17T09:30:00.000Z,0.3764,0.3785,0.3742,0.3762,33998.8
PIRATE-USD,1760693400,2025-10-17T09:30:00.000Z,0.0155,0.0157,0.0151,0.0151,664928.6
SNX-USD,1760693400,2025-10-17T09:30:00.000Z,1.361,1.393,1.358,1.364,67463.532
DASH-USD,1760693400,2025-10-17T09:30:00.000Z,40,41.05,39.94,40.38,2351.447
SPELL-USD,1760693400,2025-10-17T09:30:00.000Z,0.000338,0.000339,0.000336,0.0003365,2907673
ABT-USD,1760693400,2025-10-17T09:30:00.000Z,0.514,0.5151,0.5065,0.5065,703.1
BNKR-USD,1760693400,2025-10-17T09:30:00.000Z,0.0003747,0.0003785,0.0003731,0.0003748,7245526
KSM-USD,1760693400,2025-10-17T09:30:00.000Z,10.62,10.62,10.5,10.5,85.2783
ZORA-USD,1760693400,2025-10-17T09:30:00.000Z,0.08968,0.09244,0.08946,0.09122,1742570
VARA-USD,1760693400,2025-10-17T09:30:00.000Z,0.00211,0.00213,0.0021,0.00211,249118
PRCL-USD,1760693400,2025-10-17T09:30:00.000Z,0.0462,0.0471,0.0462,0.0467,142637.7
SEAM-USD,1760693400,2025-10-17T09:30:00.000Z,0.2438,0.2481,0.2433,0.2473,6243.3
MOG-USD,1760693400,2025-10-17T09:30:00.000Z,4.2e-7,4.3e-7,4.1e-7,4.3e-7,62863729734
MKR-USD,1760693400,2025-10-17T09:30:00.000Z,1402.32,1405.04,1383.51,1388.96,5.766124
ASM-USD,1760694300,2025-10-17T09:45:00.000Z,0.01401,0.01421,0.0138,0.01392,150293
ZKC-USD,1760694300,2025-10-17T09:45:00.000Z,0.302,0.3103,0.3017,0.303,499709.54
GTC-USD,1760694300,2025-10-17T09:45:00.000Z,0.2,0.21,0.2,0.21,4284.24
USELESS-USD,1760694300,2025-10-17T09:45:00.000Z,0.2933,0.2961,0.289,0.2891,391996.6
TROLL-USD,1760694300,2025-10-17T09:45:00.000Z,0.08285,0.08346,0.0817,0.0817,20439.8
GODS-USD,1760694300,2025-10-17T09:45:00.000Z,0.09309,0.09643,0.09309,0.09589,184955.49
TRAC-USD,1760694300,2025-10-17T09:45:00.000Z,0.672,0.675,0.6639,0.6735,8337.3
OMNI-USD,1760694300,2025-10-17T09:45:00.000Z,2.201,2.201,2.193,2.193,225.87
MAGIC-USD,1760694300,2025-10-17T09:45:00.000Z,0.141,0.1482,0.1406,0.1476,542263.22
GST-USD,1760694300,2025-10-17T09:45:00.000Z,0.00379,0.003894,0.003789,0.003894,1349768.63
LRDS-USD,1760694300,2025-10-17T09:45:00.000Z,0.0898,0.0908,0.0898,0.0907,8476
LOKA-USD,1760694300,2025-10-17T09:45:00.000Z,0.1142,0.1179,0.113,0.1144,51487.77
RECALL-USD,1760694300,2025-10-17T09:45:00.000Z,0.2823,0.2867,0.281,0.2835,36311.22
CFG-USD,1760694300,2025-10-17T09:45:00.000Z,0.1937,0.1976,0.1922,0.1927,4296.2
TIME-USD,1760694300,2025-10-17T09:45:00.000Z,8.85,8.85,8.57,8.85,198.986
ALICE-USD,1760694300,2025-10-17T09:45:00.000Z,0.364,0.364,0.362,0.362,8864.525
NEON-USD,1760694300,2025-10-17T09:45:00.000Z,0.08254,0.08254,0.08195,0.08217,6507.36
LA-USD,1760694300,2025-10-17T09:45:00.000Z,0.3754,0.3803,0.3745,0.3797,75127.2
PIRATE-USD,1760694300,2025-10-17T09:45:00.000Z,0.0154,0.0157,0.0153,0.0154,274476.2
SNX-USD,1760694300,2025-10-17T09:45:00.000Z,1.365,1.383,1.363,1.363,67852.387
DASH-USD,1760694300,2025-10-17T09:45:00.000Z,40.4,40.65,40,40.11,604.078243
SPELL-USD,1760694300,2025-10-17T09:45:00.000Z,0.0003352,0.0003352,0.0003346,0.0003346,451113
BNKR-USD,1760694300,2025-10-17T09:45:00.000Z,0.0003738,0.0003738,0.0003713,0.0003719,4363305
KSM-USD,1760694300,2025-10-17T09:45:00.000Z,10.55,10.61,10.3,10.3,419.0014
ZORA-USD,1760694300,2025-10-17T09:45:00.000Z,0.09121,0.09197,0.09041,0.09122,1415415
VARA-USD,1760694300,2025-10-17T09:45:00.000Z,0.00211,0.00214,0.0021,0.0021,562757
PRCL-USD,1760694300,2025-10-17T09:45:00.000Z,0.0467,0.0467,0.0464,0.0465,13110.7
SEAM-USD,1760694300,2025-10-17T09:45:00.000Z,0.2448,0.2512,0.2448,0.2473,52620.6
MOG-USD,1760694300,2025-10-17T09:45:00.000Z,4.3e-7,4.3e-7,4.2e-7,4.2e-7,19194372898
MKR-USD,1760694300,2025-10-17T09:45:00.000Z,1394.84,1394.84,1378.65,1388.51,4.575176
ASM-USD,1760695200,2025-10-17T10:00:00.000Z,0.01393,0.01421,0.01377,0.0139,268108
ZKC-USD,1760695200,2025-10-17T10:00:00.000Z,0.3033,0.3064,0.2994,0.3017,233288.63
USELESS-USD,1760695200,2025-10-17T10:00:00.000Z,0.289,0.2939,0.2832,0.2852,416723.7
TROLL-USD,1760695200,2025-10-17T10:00:00.000Z,0.08181,0.08181,0.0795,0.0795,9232.8
GODS-USD,1760695200,2025-10-17T10:00:00.000Z,0.09559,0.09926,0.09523,0.09801,428485.17
TRAC-USD,1760695200,2025-10-17T10:00:00.000Z,0.6717,0.676,0.662,0.6659,12733.9
PLU-USD,1760695200,2025-10-17T10:00:00.000Z,0.32,0.32,0.32,0.32,5032.74
OMNI-USD,1760695200,2025-10-17T10:00:00.000Z,2.199,2.204,2.199,2.202,278.85
MAGIC-USD,1760695200,2025-10-17T10:00:00.000Z,0.1475,0.1576,0.1455,0.149,458498.47
GST-USD,1760695200,2025-10-17T10:00:00.000Z,0.003822,0.003849,0.003822,0.003849,70039.98
HONEY-USD,1760695200,2025-10-17T10:00:00.000Z,0.0106,0.0106,0.0106,0.0106,80751.5
PNG-USD,1760695200,2025-10-17T10:00:00.000Z,0.07882,0.07967,0.07882,0.07967,1824
LOKA-USD,1760695200,2025-10-17T10:00:00.000Z,0.1156,0.1156,0.1133,0.1133,11236.68
RECALL-USD,1760695200,2025-10-17T10:00:00.000Z,0.2826,0.2839,0.272,0.2761,240586
CFG-USD,1760695200,2025-10-17T10:00:00.000Z,0.192,0.192,0.1897,0.1897,4260.8
TIME-USD,1760695200,2025-10-17T10:00:00.000Z,8.84,8.84,8.71,8.71,42.248
ALICE-USD,1760695200,2025-10-17T10:00:00.000Z,0.364,0.366,0.363,0.364,5884.446
NEON-USD,1760695200,2025-10-17T10:00:00.000Z,0.08214,0.08236,0.08183,0.08225,7427.86
LA-USD,1760695200,2025-10-17T10:00:00.000Z,0.3793,0.3822,0.3775,0.3775,19543.6
PIRATE-USD,1760695200,2025-10-17T10:00:00.000Z,0.0155,0.0157,0.0152,0.0152,355509
SNX-USD,1760695200,2025-10-17T10:00:00.000Z,1.364,1.372,1.359,1.361,37707.279
DASH-USD,1760695200,2025-10-17T10:00:00.000Z,40.12,40.31,39.97,39.97,441.806
SPELL-USD,1760695200,2025-10-17T10:00:00.000Z,0.0003343,0.0003346,0.0003332,0.0003339,6431127
ABT-USD,1760695200,2025-10-17T10:00:00.000Z,0.511,0.5135,0.511,0.5131,746.6
BNKR-USD,1760695200,2025-10-17T10:00:00.000Z,0.0003713,0.000373,0.0003703,0.0003721,14817714
ZORA-USD,1760695200,2025-10-17T10:00:00.000Z,0.09121,0.0918,0.09029,0.09158,2487376
VARA-USD,1760695200,2025-10-17T10:00:00.000Z,0.0021,0.0021,0.00207,0.00208,178326
PRCL-USD,1760695200,2025-10-17T10:00:00.000Z,0.0465,0.0471,0.0461,0.0464,83709
SEAM-USD,1760695200,2025-10-17T10:00:00.000Z,0.2476,0.2541,0.2476,0.2482,8495.9
MOG-USD,1760695200,2025-10-17T10:00:00.000Z,4.3e-7,4.3e-7,4.2e-7,4.2e-7,25063999928
MKR-USD,1760695200,2025-10-17T10:00:00.000Z,1388.25,1391.22,1379.98,1379.98,0.2476
ASM-USD,1760696100,2025-10-17T10:15:00.000Z,0.01391,0.01412,0.01376,0.0138,127438
ZKC-USD,1760696100,2025-10-17T10:15:00.000Z,0.3023,0.309,0.294,0.2974,419099.59
USELESS-USD,1760696100,2025-10-17T10:15:00.000Z,0.2853,0.2868,0.2802,0.2821,856800.4
TROLL-USD,1760696100,2025-10-17T10:15:00.000Z,0.0799,0.08022,0.07785,0.0792,18550.5
GODS-USD,1760696100,2025-10-17T10:15:00.000Z,0.09811,0.1026,0.09803,0.10255,872045.65
TRAC-USD,1760696100,2025-10-17T10:15:00.000Z,0.663,0.6666,0.6444,0.6471,81035.5
OMNI-USD,1760696100,2025-10-17T10:15:00.000Z,2.193,2.193,2.181,2.187,279.29
